id_usulan,tanggal_usulan,no_nota_dinas,no_seri_indoor,kondisi_terakhir,tanggal_masuk_gudang,Lokasi_Gudang,sinkronisasi,status_sistem,Keterangan tabel
,,,,,,Gudang BMN Cipete,FALSE,⚠️ DATA BELUM LENGKAP,
,,,,,,Gudang BMN Cipete,FALSE,⚠️ DATA BELUM LENGKAP,
